,MSIScore,Ploidy,LoHFraction,WGD,CIN,Aneuploidy
PR-7nlItI,2.19,3.01742734847423,0.156391694653891,1.0,0.57553033337191,21.0
PR-n50HQn,1.86,,,,,
PR-GmX4vm,1.98,2.96023900914156,0.349049561192266,1.0,0.666139788235504,21.0
PR-fRV9F5,1.99,3.09475865050085,0.266608807666088,1.0,0.700741437507681,26.0
PR-aheaZL,2.53,,,,,
PR-UPMOnp,1.98,3.90257485735857,0.182084154436088,1.0,0.757130783952005,26.0
PR-m1QN4m,2.52,,,,,
PR-xYVgxG,1.69,,,,,
PR-YmJ7mI,89.11,,,,,
PR-hvlDoR,2.24,3.42975916073842,0.254833254916439,1.0,0.552685545484826,19.0
PR-Fxytjs,0.47,3.35913098426024,0.289956714734852,1.0,0.590375662577653,31.0
PR-BGUgGC,2.22,3.83760063325414,0.244682439878342,1.0,0.706537492845492,25.0
PR-QV7oyX,1.96,,,,,
PR-QQ2dSy,2.39,,,,,
PR-ijAF5c,1.56,,,,,
PR-hJcExB,2.06,3.5474996539093,0.256788099185837,1.0,0.533684040401164,34.0
PR-8WZowy,90.28,,,,,
PR-UYg6uV,1.82,3.5355708481848,0.239841546762717,1.0,0.638553830114699,27.0
PR-ugm4m4,1.54,,,,,
PR-k5CObx,1.6,4.45642764306765,0.295719676824158,1.0,0.82489701679871,25.0
PR-IEUpIB,1.97,4.06108668935887,0.209159855072735,1.0,0.665063508381762,21.0
PR-O238Fk,2.24,4.6583764610888,0.173428560675568,1.0,0.803518561897455,29.0
PR-xIcKv7,2.41,2.85155852431243,0.228625947069413,1.0,0.479531540916908,19.0
PR-uNZMrD,2.15,3.26552507454197,0.347906854041961,1.0,0.704778467627264,26.0
PR-maqskN,1.04,1.98975657677419,0.365949324454781,0.0,0.4263996599322,9.0
PR-xty2b8,2.57,4.54619848254068,0.319661604328138,1.0,0.813075717963316,33.0
PR-HpojcM,82.96,,,,,
PR-V0CO22,2.05,1.94784668173965,0.0874343745485852,0.0,0.131417909148872,7.0
PR-djRQLO,2.7,,,,,
PR-QgRnyg,1.6,3.53773706131287,0.143151952563863,1.0,0.53136183901116,30.0
PR-HvE8oO,2.2,2.6472921363913,0.365246965787181,1.0,0.57430336876905,23.0
PR-mvKyWh,1.41,3.93780195014801,0.180619117006439,1.0,0.519011239681794,17.0
PR-K0KOcW,2.04,4.02142190425893,0.219778302862911,1.0,0.79647881236846,25.0
PR-YXlKWL,1.64,3.47184766390608,0.121345263691564,1.0,0.61589644394754,22.0
PR-HN3C6C,2.02,3.01830721871871,0.648428802785499,1.0,0.553587491316802,22.0
PR-0sYHco,2.45,3.56659246277185,0.148739319258047,1.0,0.649015180834616,26.0
PR-Oi0m4s,2.78,4.26881120001289,0.0229415454655866,1.0,0.24144111917591,10.0
PR-SRIORa,1.67,2.97585577798584,0.573863892047947,1.0,0.642095099045523,20.0
PR-9Oujd0,2.47,3.44289327716722,0.204005365124053,1.0,0.636806727769434,27.0
PR-ZWkBLk,3.5,4.60632913304408,0.0402840164638805,1.0,0.334927562101695,36.0
PR-MdYnGF,3.07,2.2650779555862,0.117813092492862,0.0,0.156822134851494,5.0
PR-LTIJeY,1.9,,,,,
PR-F7fOSJ,2.4,3.48381094869775,0.33780470650968,1.0,0.659637998183934,16.0
PR-tbjuMc,40.89,2.10869557541688,0.0621005732836071,0.0,0.152164866906412,5.0
PR-t1gU3V,2.55,,,,,
PR-dFyNJN,3.5,2.74390360815942,0.322773141556739,1.0,0.500608789946611,19.0
PR-Y6KPlY,59.91,2.11291927523018,0.0589784617679525,0.0,0.0995235602979148,1.0
PR-L20QEq,2.22,4.24749865438085,0.0873402270711628,1.0,0.512140306816946,14.0
PR-u1G9JO,2.39,2.11399081120769,0.157635322527253,0.0,0.241969838329709,9.0
PR-yPh1Ou,2.45,4.89705591920457,0.211508192969814,1.0,0.70658033354207,24.0
PR-OrnAxc,3.47,3.81149234287648,0.472207883543376,1.0,0.593389688003268,30.0
PR-DtMcDr,1.87,3.69141813095315,0.150500964934979,1.0,0.629394642551863,22.0
PR-HlfNG0,0.81,2.98648708484121,0.258983736893654,1.0,0.391872781808844,16.0
PR-Pd0Ucw,1.3,3.93250400484167,0.434034020606731,1.0,0.821020984508191,25.0
PR-nhopBm,2.23,,,,,
PR-xgHfr3,74.85,,,,,
PR-SD32IL,2.23,2.88672344102662,0.422490992866309,1.0,0.622996383139343,27.0
PR-Y4M65x,3.06,2.52422936571437,0.0875410880773226,0.0,0.510941490223289,24.0
PR-waV5HO,2.22,2.18972516640639,0.0636688461045357,0.0,0.266242570317815,10.0
PR-X8sCBt,2.05,3.44942408389127,0.3613624713103,1.0,0.717464527293718,18.0
PR-RNtGZ6,2.59,2.24607216316297,0.0959357158946376,0.0,0.151940546386504,4.0
PR-tEpLCL,2.11,2.0227511928191,0.0029265243873385,0.0,0.0300173299845324,1.0
PR-GoN0Kn,1.79,2.13976576264111,0.0620847135191337,0.0,0.107766600220155,3.0
PR-Hu7pwC,3.13,2.92055839252591,0.401225103943322,1.0,0.656958440842798,24.0
PR-LzqC1p,4.6,4.37430551281202,0.455578068600173,1.0,0.730191203869918,21.0
PR-2AxAKM,1.08,3.52826049688377,0.391077672840939,1.0,0.815340537727255,35.0
PR-Oa5yYx,30.31,2.03004017026182,0.014457666871237,0.0,0.0491902858098935,1.0
PR-RtIft3,1.97,2.99451982669895,0.255173055582956,1.0,0.619135419395052,22.0
PR-Zdrl57,3.13,2.92889383151646,0.582816780594467,1.0,0.592448117169075,26.0
PR-xftxYA,1.08,3.53641944430967,0.288254107076427,1.0,0.683954235445734,27.0
PR-BlwAzJ,2.74,2.81559956551202,0.370623667651932,1.0,0.565024244893935,22.0
PR-KYeoP9,1.94,4.14648933908151,0.524499176852434,1.0,0.551159334679052,30.0
PR-Qjrhu6,0.98,3.9882264492482,0.302196389272512,1.0,0.566032690729866,18.0
PR-4Guo7R,3.61,3.37025188222912,0.294543262871988,1.0,0.717579491786181,22.0
PR-oqZkYM,2.15,4.34301883775382,0.123443776426177,1.0,0.713856255128808,19.0
PR-P9a7Du,1.83,,,,,
PR-wcXD7g,2.75,2.11218423180187,0.0084312371660811,0.0,0.0129294136916681,0.0
PR-lt3s9Y,1.91,2.2516939995515,0.0942938397266632,0.0,0.218490904908601,6.0
PR-y3WQWw,2.22,3.17345691880431,0.171626780337529,1.0,0.497323954266456,19.0
PR-xTlIdk,3.66,,,,,
PR-W63IgE,87.3,,,,,
PR-IDBCK9,2.23,2.00114495628781,0.0,0.0,0.0003684748205527,0.0
PR-slPVjh,1.74,3.36935794158602,0.0823608285787586,1.0,0.474790412285073,18.0
PR-bpXeZh,2.06,3.09800508071057,0.229445996131881,1.0,0.71621326933835,22.0
PR-YJpl8R,2.42,2.96673946680448,0.414810757192312,1.0,0.577819836418691,21.0
PR-9sB1fn,3.63,3.06586857261469,0.586990509206962,1.0,0.67753037399723,24.0
PR-K3zX9w,1.97,2.16077260172904,0.239999437954322,0.0,0.411330136187871,9.0
PR-gkmgBd,2.78,2.54895772814296,0.153070869198109,0.0,0.522117105957436,27.0
PR-eOgBGd,2.83,,,,,
PR-tRVGiP,2.91,3.50235612076837,0.128742751849847,1.0,0.458800508360745,28.0
PR-Yf6hXD,2.02,2.14610124513113,0.0094600304190802,0.0,0.0514899488794708,1.0
PR-zy5agd,2.55,2.18608557091475,0.0382234476432423,0.0,0.226645072680991,11.0
PR-1JTXkC,1.2,,,,,
PR-JaOGpt,2.45,2.07482081954456,0.0874746516157299,0.0,0.144275780386188,6.0
PR-WBnZkt,2.31,2.79691465032688,0.306547233814437,1.0,0.689766970413041,28.0
PR-cBwtP5,1.51,2.58202584064542,0.372856058521221,1.0,0.648164718540721,25.0
PR-fXLYEJ,2.67,3.94593915340478,0.124275217084664,1.0,0.430283339843646,14.0
PR-ewjXei,2.76,,,,,
PR-6MK3Tx,1.03,4.51175439680163,0.252513875517411,1.0,0.686037636044031,23.0
PR-iXWzlb,2.22,1.95868974271795,0.270290129780818,0.0,0.342442202118128,12.0
PR-NXn9fL,1.13,2.60998491850459,0.704867111046535,1.0,0.350522520531553,33.0
PR-MKQZdU,1.65,3.65897825877174,0.142216444793033,1.0,0.650077848414466,19.0
PR-uSMhrI,2.57,2.16179552989392,0.0937467895101428,0.0,0.172357719280457,2.0
PR-75rvpO,1.67,2.81364937085616,0.236420394576461,1.0,0.617407634888876,20.0
PR-XbphNt,2.66,,,,,
PR-hWzCnF,84.89,,,,,
PR-JoZpBZ,2.76,,,,,
PR-ty3Lml,2.56,2.12154379043397,0.0096819556238737,0.0,0.0161459889834439,0.0
PR-pnv2Q0,2.28,2.06329343239231,0.132396133163975,0.0,0.277410109682943,9.0
PR-jhmhyz,1.89,2.83176663736892,0.301753547450645,1.0,0.558088834951083,21.0
PR-vgMZdF,2.32,3.21444856292455,0.247566591666879,1.0,0.705649671253173,26.0
PR-R8t2N2,1.21,,,,,
PR-oBE1tw,2.18,2.25002607224826,0.0229683266403135,0.0,0.20608763194412,6.0
PR-IRf5z2,1.26,2.89863452536941,0.416496456718515,1.0,0.714989225358233,22.0
PR-XnS0fU,1.53,4.60143408764546,0.222676515523662,1.0,0.820760992530955,34.0
PR-2KTJS4,2.1,4.33817394612557,0.0789491258924427,1.0,0.701779842205298,22.0
PR-ntlhBz,2.22,3.45428225243432,0.233556274730672,1.0,0.688049548888672,24.0
PR-5McWUB,2.52,3.67215578865608,0.237352594807632,1.0,0.573394165742294,25.0
PR-SngPym,2.2,3.59650252174603,0.493798045822501,1.0,0.684883491003987,29.0
PR-l4NGGv,2.03,,,,,
PR-tqUPnF,1.71,3.80456967389063,0.13006631657521,1.0,0.31722198844782,9.0
PR-xgyQRo,1.72,4.74844163263464,0.117063680229747,1.0,0.742750017129432,31.0
PR-yE0OhP,2.58,,,,,
PR-da9eNd,1.6,,,,,
PR-z6pIpO,2.0,3.75327704308101,0.151529142530366,1.0,0.535725286438869,20.0
PR-xEIrBG,2.78,3.96420199693856,0.518920527616468,1.0,0.803918686356341,29.0
PR-72Va7n,54.51,1.96811426948103,0.0736592868224331,0.0,0.105701678944294,2.0
PR-mq0Rh9,3.33,,,,,
PR-mqIBwn,2.13,2.06667600348288,0.0532517776635668,0.0,0.0586229537808187,1.0
PR-YJBstR,2.05,2.35714439019927,0.075735661422011,0.0,0.297226477878282,12.0
PR-SG6WEu,1.48,,,,,
PR-cIS47b,2.3,3.59996414738959,0.241459159790784,1.0,0.610708187709516,26.0
PR-8HSgmJ,24.26,2.17487521112355,0.0395293281996886,0.0,0.140089173494797,4.0
PR-eleyUv,0.68,3.77932722953691,0.290710122174142,1.0,0.70144763467681,27.0
PR-VR7f7Y,1.97,,,,,
PR-6pJTKH,2.75,2.12526459294349,0.0454866939479962,0.0,0.102316931673058,4.0
PR-AkSGR2,2.49,3.47571419904486,0.394874764399814,1.0,0.713260623391758,28.0
PR-vE6f3B,3.27,4.2981185197003,0.408522555939676,1.0,0.85349936309242,26.0
PR-4FG12g,2.45,3.65323945868958,0.535133996943112,1.0,0.639585326746392,28.0
PR-Dx7c37,2.0,3.38768687376087,0.232192153317523,1.0,0.460653736414477,20.0
PR-GWI1RK,2.83,3.02697550815499,0.210254743711839,1.0,0.696145550866066,23.0
PR-ODzNZa,6.57,2.24926672717938,0.182990774204078,0.0,0.296554437581981,3.0
PR-zrjzDr,3.04,2.17641227397993,0.13982119148467,0.0,0.265755712641435,7.0
PR-DLWpGD,2.47,4.02377881117373,0.182137880767687,1.0,0.302760801053863,8.0
PR-egJh3A,81.33,,,,,
PR-bKVUeM,2.76,3.82362639628378,0.0803591662307252,1.0,0.438727462695994,14.0
PR-pdqtLg,2.24,3.07619402729012,0.167283886050165,1.0,0.420547155644156,17.0
PR-7mhpAP,3.13,4.57301237120969,0.482038691329024,1.0,0.678890089791766,31.0
PR-NKbkQk,2.41,4.33379538010792,0.420029883039087,1.0,0.721196293709354,35.0
PR-AAAPDO,3.61,2.0553950822305,0.0625585827210812,0.0,0.116893945543372,1.0
PR-RZUnHd,0.63,2.62109268456863,0.307747533129635,1.0,0.654942635898067,23.0
PR-JyiOtL,2.39,2.20343893240027,0.129334206380234,0.0,0.330119577801104,11.0
PR-8BrHOT,0.96,,,,,
PR-ppRdDh,4.95,3.18830167983878,0.324193898763247,1.0,0.647895368902338,22.0
PR-kcL5s5,1.4,,,,,
PR-oFRLBK,3.15,4.41229147516169,0.0557587317369645,1.0,0.778067010914632,27.0
PR-ntXWoU,1.3,,,,,
PR-PqVB39,2.1,3.89798356740941,0.212789945355287,1.0,0.737314849787397,24.0
PR-AQQ8je,2.39,2.9039158705797,0.395289195884449,1.0,0.700767145275651,22.0
PR-jyEzcx,1.01,4.82894334105708,0.30578142965609,1.0,0.723075612924539,36.0
PR-EcGJ1H,2.46,,,,,
PR-HXmKaZ,10.48,4.28803833485319,0.541746350069047,1.0,0.518944323924517,17.0
PR-F4n6DY,2.37,,,,,
PR-mYuOXb,2.24,2.88403372559938,0.40116286704826,1.0,0.709993942506636,26.0
PR-ukNBMh,1.49,3.45905241917837,0.5189468836792,1.0,0.733042001476629,18.0
PR-V5ECBf,1.66,2.117887821408,0.0259319241079364,0.0,0.0315659707263022,0.0
PR-ejTtKM,2.12,2.89296000172594,0.388358960640682,1.0,0.684918847306143,24.0
PR-b3YKAJ,2.49,4.37057301032722,0.222918797657677,1.0,0.800528476669267,33.0
PR-TRwlmt,3.53,4.24563223111772,0.524576409550995,1.0,0.768417362764629,27.0
PR-711hbz,2.24,2.16715269689019,0.181544413276791,0.0,0.276740324377258,6.0
PR-i4s165,2.7,4.50879314148943,0.461862765908889,1.0,0.573834912470049,31.0
PR-0riUD0,2.01,,,,,
PR-FSmUok,2.37,3.55529135624039,0.269218100650532,1.0,0.724674729977853,28.0
PR-fZpHRq,2.12,4.18261594650404,0.261554086987926,1.0,0.733167245795876,27.0
PR-otGOcY,2.39,3.89574314627206,0.0727978920016479,1.0,0.564514586102378,27.0
PR-5EAjfk,2.58,3.93516937025619,0.350081162226239,1.0,0.76506036266688,26.0
PR-hTO7AX,1.24,3.57871228211566,0.28688157642176,1.0,0.697111861491052,29.0
PR-08baLC,2.34,,,,,
PR-pRti9C,2.81,4.07117794495344,0.0091327348815208,1.0,0.503765359380924,17.0
