DepMap_ID,p53,RAD51,DepMap_ID_norm,PR_ID_norm,WGD
ACH-000943,0.2892822719828697,3.676944359106912,ACH-000943,PR-RSONMY,oui
ACH-000944,0.2297680719911687,5.354734239970604,ACH-000944,PR-T3ZNGO,non
ACH-000944,0.2297680719911687,5.354734239970604,ACH-000944,PR-KAJQ0Y,oui
ACH-000946,0.347198317336291,5.130930869826448,ACH-000946,PR-BHIZGJ,non
ACH-000946,0.347198317336291,5.130930869826448,ACH-000946,PR-IG2DWN,non
ACH-000947,0.5278672436430095,4.8494989317201815,ACH-000947,PR-HIONKF,non
ACH-000948,0.5776600526636163,5.034743949324734,ACH-000948,PR-TXEHVN,non
ACH-000950,0.6575224412469362,5.036942844798256,ACH-000950,PR-VEPCQY,non
ACH-000953,0.150486780532294,5.809414444235898,ACH-000953,PR-LYWGOG,non
ACH-000957,0.5038596541621306,4.107687869314374,ACH-000957,PR-PMKCWE,non
ACH-000957,0.5038596541621306,4.107687869314374,ACH-000957,PR-F2NT4P,non
ACH-000958,0.3112648621860464,5.009884588931844,ACH-000958,PR-FFRXCV,non
ACH-000959,0.529188034567405,5.117279460053921,ACH-000959,PR-8XR84R,non
ACH-000960,0.5081374441476311,5.346247774082776,ACH-000960,PR-O3M2XG,non
ACH-000963,0.6008527565526823,4.677508242264722,ACH-000963,PR-FOI5MV,oui
ACH-000963,0.6008527565526823,4.677508242264722,ACH-000963,PR-EEOBVQ,oui
ACH-000968,0.7102615802434697,5.079378111118652,ACH-000968,PR-JCSMGB,oui
ACH-000968,0.7102615802434697,5.079378111118652,ACH-000968,PR-Z6PIPO,oui
ACH-000973,0.3335750748256172,4.541638734436141,ACH-000973,PR-UY1FYN,oui
ACH-000974,1.0014033057930607,3.431622959713292,ACH-000974,PR-MN1O3F,non
ACH-000975,0.0216585514749696,4.285402218862249,ACH-000975,PR-UPMONP,oui
ACH-000976,0.0255761001556632,4.424922088210688,ACH-000976,PR-TPJQN4,oui
ACH-000977,0.9087466366145424,4.03121873061072,ACH-000977,PR-MFYHAF,non
ACH-000978,0.2979955648387909,4.6604951318885135,ACH-000978,PR-IPEI1I,non
ACH-000980,0.0899164138807713,5.380244590478185,ACH-000980,PR-ULAGYI,oui
ACH-000983,0.1456865838399969,5.169925001442312,ACH-000983,PR-FGEUV5,non
ACH-000983,0.1456865838399969,5.169925001442312,ACH-000983,PR-URHA2W,non
ACH-000984,0.1555048824287733,4.729552770453971,ACH-000984,PR-ZQMIEY,oui
ACH-000986,0.0437088698573159,4.530445354692906,ACH-000986,PR-YYT0TP,non
ACH-000988,0.1159539941955674,4.921245888585589,ACH-000988,PR-DRHRFR,non
ACH-000988,0.1159539941955674,4.921245888585589,ACH-000988,PR-LBNRNX,non
ACH-000993,0.9525706450499208,4.334139178838237,ACH-000993,PR-GGFZDB,non
ACH-000994,0.1558237419753896,5.068670810665099,ACH-000994,PR-RUMA0E,oui
ACH-000995,0.0580465874104702,5.8774988727835344,ACH-000995,PR-DS9QDK,non
ACH-001001,-0.0350276621211573,5.583458910130768,ACH-001001,PR-5EAJFK,oui
ACH-001001,-0.0350276621211573,5.583458910130768,ACH-001001,PR-AUPRZ1,oui
ACH-001020,1.580895520890964,4.615298579092115,ACH-001020,PR-RAI6I6,non
ACH-001020,1.580895520890964,4.615298579092115,ACH-001020,PR-WQHJ2S,non
ACH-001029,0.0196000007595939,4.325530331567558,ACH-001029,PR-HM3UFM,oui
ACH-001029,0.0196000007595939,4.325530331567558,ACH-001029,PR-YBRJCK,oui
ACH-001036,0.17427884499818,4.777682717073553,ACH-001036,PR-GTPKTX,oui
ACH-001038,0.1525670355200387,4.798569003556882,ACH-001038,PR-EFHSQ0,oui
ACH-001041,0.15081756433319,4.036503333738988,ACH-001041,PR-APCU78,oui
ACH-001048,0.0922145416219987,4.632268215499513,ACH-001048,PR-XDBZQT,oui
ACH-001050,1.5084567207984552,4.210232990095849,ACH-001050,PR-ZXIFR9,oui
ACH-001053,0.2561622893336059,2.584962500721156,ACH-001053,PR-OGSOZE,oui
ACH-001053,0.2561622893336059,2.584962500721156,ACH-001053,PR-JDCMBG,oui
ACH-001054,0.4834768427172389,3.6644828403646814,ACH-001054,PR-L2PORG,oui
ACH-001061,-0.0056861696908719,5.603181229013857,ACH-001061,PR-V728KC,non
ACH-001075,1.144229369338995,4.20006486151431,ACH-001075,PR-LTVSTE,non
ACH-001075,1.144229369338995,4.20006486151431,ACH-001075,PR-GTGM4G,non
ACH-001075,1.144229369338995,4.20006486151431,ACH-001075,PR-VGPHLY,non
ACH-001098,0.0659154440228864,3.576522137920503,ACH-001098,PR-I0A92E,oui
ACH-001099,1.2120064236333077,3.996388746447621,ACH-001099,PR-5BW8SW,non
ACH-001099,1.2120064236333077,3.996388746447621,ACH-001099,PR-UX8LGH,non
ACH-001128,2.8597742831918285,4.891419186846079,ACH-001128,PR-CHTFP9,non
ACH-001128,2.8597742831918285,4.891419186846079,ACH-001128,PR-V5ECBF,non
ACH-001129,0.3150462386746563,5.126807703142035,ACH-001129,PR-LMNM2B,non
ACH-001134,1.2662082238686732,4.16430358309365,ACH-001134,PR-LLEXIT,non
ACH-001134,1.2662082238686732,4.16430358309365,ACH-001134,PR-TUWGXH,non
ACH-001145,-0.0638925698754802,4.787641414483327,ACH-001145,PR-NTPYXK,oui
ACH-001151,0.0763021576660968,3.891419186846079,ACH-001151,PR-4OJY7T,oui
ACH-001151,0.0763021576660968,3.891419186846079,ACH-001151,PR-AMLSLQ,oui
ACH-001163,-0.2764859337531675,5.134220939760634,ACH-001163,PR-JGKZXR,non
ACH-001164,1.6346160735751591,4.072963271555224,ACH-001164,PR-CC6WWT,non
ACH-001164,1.6346160735751591,4.072963271555224,ACH-001164,PR-7MXIJK,non
